sample,h2_concentration,alarm,humidity,pressure_P1_mean,pressure_P1_std,pressure_P1_min,pressure_P1_max,pressure_Trigger_mean,pressure_Trigger_std,pressure_Trigger_min,pressure_Trigger_max,CH1_CH1_mean,CH1_CH1_std,CH1_CH1_min,CH1_CH1_max,CH2_mfr_CH2_mfr_gs_mean,CH2_mfr_CH2_mfr_gs_std,CH2_mfr_CH2_mfr_gs_min,CH2_mfr_CH2_mfr_gs_max,CH3_pressure_CH3_pressure_bar_mean,CH3_pressure_CH3_pressure_bar_std,CH3_pressure_CH3_pressure_bar_min,CH3_pressure_CH3_pressure_bar_max
33,6.111,0,38.3,0.0133292203,1.1041190058594219e-05,0.0132998,0.0133635,1.0,0.0,1,1,0.048615514,0.00310104280070495,0.040495,0.057161,4.486029149999999,0.2938652737463675,3.7288437499999993,5.213218749999999,28.0564525,2.122495490066616,22.859687500000003,36.6618125
34,5.955,0,38.3,0.013327729200000001,1.138340930301638e-05,0.0132959,0.0133622,1.0,0.0,1,1,0.048742594,0.003042913271383856,0.040495,0.057161,4.4814979625,0.2897800705323325,3.6767562500000004,5.265300000000001,27.9042400625,2.092814275109109,22.599312499999996,34.057624999999994
35,6.342,0,38.3,0.0133225266,1.004098961457481e-05,0.0132959,0.0133518,1.0,0.0,1,1,0.048644662,0.0031000938220892608,0.040495,0.057161,4.483424925,0.28870035726523186,3.75488125,5.265300000000001,27.88744275,2.0313140811227965,22.729499999999998,34.44825
36,6.46,0,38.3,0.013315517,1.2462647832623692e-05,0.0132751,0.0133505,1.0,0.0,1,1,0.048709273,0.003179942100490353,0.040495,0.055078,4.468034337499999,0.28677392931540796,3.75488125,5.16113125,27.827677187499997,2.0290882363951663,21.6878125,34.44825
37,6.168,0,38.3,0.0133146798,1.2766574793577187e-05,0.0132712,0.0133505,1.0,0.0,1,1,0.048678009,0.0031158465958578577,0.040495,0.057161,4.454883387499999,0.28662115337632504,3.57259375,5.10905,27.718953625,2.0322813090656235,22.078437500000007,33.4065625
38,6.302,0,38.2,0.0133309389,1.2536799304048842e-05,0.0132933,0.0133609,1.0,0.0,1,1,0.048723846,0.0030883496272740884,0.040495,0.055078,4.452018656249999,0.2880792162565961,3.75488125,5.13509375,27.74043825,1.952246979904518,21.6878125,35.489937499999996
39,6.141,0,38.2,0.013332119299999999,1.0655375991019747e-05,0.0132998,0.0133648,1.0,0.0,1,1,0.048634265999999995,0.0031252714104928548,0.040495,0.057161,4.4302218374999995,0.29343135746193133,3.7288437499999993,5.187175,27.601504562499997,2.064485665384199,21.94825,34.57843750000001
40,6.462,0,38.2,0.013328624899999999,1.2634573597474488e-05,0.0132946,0.0133583,1.0,0.0,1,1,0.048750917,0.003140015696475258,0.040495,0.057161,4.441992618749999,0.290719763957992,3.6767562500000004,5.16113125,27.500463562500002,2.0069652750552955,22.078437500000007,35.489937499999996
41,7.883,0,38.2,0.0133205545,1.4922152651343552e-05,0.0132764,0.0133713,1.0,0.0,1,1,0.048780091,0.003158492182785799,0.040495,0.057161,4.435664612499999,0.2867445519042818,3.6246749999999994,5.265300000000001,27.4767653125,2.0083014182786556,22.338874999999994,34.1878125
42,7.775,0,38.2,0.0133209276,1.005434623632984e-05,0.0132946,0.0133531,1.0,0.0,1,1,0.048753013000000005,0.0031379884446618026,0.040495,0.057161,4.4136071999999995,0.2981605942957859,3.6767562500000004,5.0830062499999995,27.4413500625,2.065540866522048,21.6878125,34.318062499999996
43,6.56,0,38.2,0.0133165726,1.2004315442373215e-05,0.0132855,0.0133505,1.0,0.0,1,1,0.048563429000000005,0.0031518961738862847,0.040495,0.057161,4.421055174999999,0.28664225441731045,3.6767562500000004,5.213218749999999,27.34069775,2.0559503748182375,22.208687500000003,33.536812499999996
44,7.111,0,38.2,0.0133148865,1.1994356495869211e-05,0.0132803,0.0133466,1.0,0.0,1,1,0.048663415,0.003126939962771111,0.040495,0.057161,4.399023906249998,0.29128607891397273,3.54655,5.187175,27.2880931875,2.030556003000162,22.729499999999998,34.7086875
45,7.293,0,38.2,0.0133043643,1.4492748376688261e-05,0.0132608,0.0133349,1.0,0.0,1,1,0.048559250000000005,0.0031953203491199436,0.040495,0.059245,4.39136771875,0.28278964333105217,3.57259375,5.13509375,27.2470784375,1.9879364373090886,21.036812500000003,32.495125
46,7.605,0,38.2,0.013288939800000002,1.3186427717922746e-05,0.0132478,0.0133323,1.0,0.0,1,1,0.048636341,0.003085553744908521,0.038411,0.057161,4.378320887499999,0.2895084327944576,3.6767562500000004,5.10905,27.1074953125,2.058062096451203,20.906562500000003,34.057624999999994
47,8.535,0,38.2,0.0132911849,1.2842517743417796e-05,0.0132543,0.013331,1.0,0.0,1,1,0.048432167,0.003160872934350731,0.040495,0.055078,4.394935337499999,0.28826832137352704,3.6767562500000004,5.213218749999999,27.081453062499996,1.9965476947613916,22.208687500000003,33.01593749999999
48,8.363,0,38.2,0.0133103911,2.246456389049209e-05,0.0132634,0.0133544,1.0,0.0,1,1,0.048450925,0.0031734417567327432,0.040495,0.055078,4.360508299999999,0.2919392015627205,3.5986312500000004,5.0830062499999995,27.0576260625,2.0456823057325284,20.646187499999996,34.7086875
49,7.688,0,38.2,0.0133220144,1.140406474201195e-05,0.0132829,0.013357,1.0,0.0,1,1,0.048557178000000006,0.003139656957107894,0.038411,0.057161,4.33941455,0.2915189425311319,3.5205062499999995,5.0830062499999995,27.0268950625,2.029103890577723,20.255562500000003,32.495125
50,7.898,0,38.1,0.013304481299999999,1.3514861460999159e-05,0.0132621,0.0133427,1.0,0.0,1,1,0.048544669,0.0030981836106723885,0.040495,0.055078,4.333346824999999,0.2916732214458353,3.6246749999999994,5.0830062499999995,26.922729249999996,2.0514983174097567,21.167000000000005,34.1878125
51,8.247,0,38.1,0.0132968529,1.2062971092977055e-05,0.0132465,0.0133401,1.0,0.0,1,1,0.04873842500000001,0.003145219699858024,0.040495,0.059245,4.331471981249999,0.28884797286914393,3.6246749999999994,5.05696875,26.804370312499994,2.0588149365322237,20.906562500000003,34.44825
52,8.289,0,38.1,0.0133052301,1.5619145430848656e-05,0.0132595,0.0133479,1.0,0.0,1,1,0.048784255,0.0031087082552042414,0.040495,0.057161,4.3036332999999996,0.29192094648211914,3.4944687500000002,5.13509375,26.793042062499996,2.0467690906398586,21.167000000000005,34.7086875
53,8.121,0,38.1,0.013316919699999999,1.1769160628948853e-05,0.0132829,0.0133492,1.0,0.0,1,1,0.048730091,0.0031366786253486344,0.040495,0.057161,4.3045188125,0.2900095819116033,3.57259375,5.0048812499999995,26.7171309375,2.085863952686534,21.167000000000005,33.79718750000001
54,8.39,0,38.1,0.013318171600000001,1.2140536785496768e-05,0.0132855,0.0133635,1.0,0.0,1,1,0.048657191,0.0031342386869093104,0.040495,0.057161,4.2750916624999995,0.2887027090788558,3.5986312500000004,5.10905,26.7430415625,2.0842407062742363,21.036812500000003,35.099312499999996
55,8.602,0,38.1,0.0133082773,1.7443731100598856e-05,0.0132569,0.0133492,1.0,0.0,1,1,0.048686333000000005,0.003130151308501076,0.040495,0.057161,4.293138506249999,0.2876011959864817,3.4944687500000002,5.0830062499999995,26.6029383125,2.059023241332403,20.515937499999996,34.44825
56,7.876,0,38.1,0.0133101688,1.1250478503601482e-05,0.0132764,0.0133401,1.0,0.0,1,1,0.048548854,0.0031951112545080492,0.040495,0.057161,4.273581249999999,0.28684778942833405,3.54655,5.05696875,26.52715575,2.0238859682878783,20.125312500000007,33.79718750000001
57,8.684,0,38.1,0.0133056604,1.043244419299715e-05,0.0132842,0.0133375,1.0,0.0,1,1,0.04861341499999999,0.003094582502176182,0.040495,0.059245,4.280091662499999,0.2907652425148247,3.468425,5.187175,26.43978675,2.030782705325954,20.776374999999998,31.713875
58,8.029,0,38.1,0.013309370600000002,1.122487753340766e-05,0.0132816,0.0133427,1.0,0.0,1,1,0.048650924000000005,0.0031826665543572105,0.040495,0.057161,4.2673051937499995,0.2924870572493363,3.54655,5.0048812499999995,26.43002075,2.0435476437529387,20.776374999999998,32.88575000000001
59,9.047,0,38.1,0.013322812600000001,1.1816077235698826e-05,0.0132894,0.0133557,1.0,0.0,1,1,0.04862800900000001,0.0031669525422587247,0.040495,0.057161,4.26001349375,0.290636370727944,3.468425,4.9528,26.371167687499998,2.041311764461411,21.036812500000003,32.104499999999994
60,9.456,0,38.1,0.0133259794,1.2121477452852036e-05,0.0132985,0.01337,1.0,0.0,1,1,0.048586332999999995,0.0030721813970062055,0.042578,0.057161,4.231419749999999,0.2919659750997591,3.4944687500000002,5.0048812499999995,26.3124426875,2.0129870138445214,21.297187499999996,32.88575000000001
61,8.59,0,38.1,0.0133220586,2.2999021414834164e-05,0.0132595,0.0133752,1.0,0.0,1,1,0.048663421,0.0031778943415033483,0.040495,0.057161,4.259727068749999,0.2886693996996336,3.468425,4.9528,26.297468875000003,1.994826003490808,19.604499999999998,33.276374999999994
